time,downstream, side, upstream, h_status1,20.18,19.37,
397,19.53,19.12,
398,19.47,19.06,
399,19.53,19.05,
400,19.45,18.98,
401,19.51,19.01,
402,19.49,19.10,
403,19.47,19.09,
404,19.48,19.15,
405,19.51,19.04,
406,19.53,18.97,
407,19.47,18.98,
408,19.48,19.17,
409,19.48,19.37,
410,19.52,19.21,
411,19.55,19.20,
412,19.47,19.24,
413,19.61,19.29,
414,19.60,19.33,
415,19.70,19.57,
416,19.59,19.41,
417,19.58,19.22,
418,19.60,19.19,
419,19.54,19.06,
420,19.53,18.98,
421,19.53,18.99,
422,19.45,18.98,
423,19.49,18.95,
424,19.47,18.91,
425,19.54,18.96,
426,19.51,19.15,
427,19.53,19.27,
428,19.52,19.08,
429,19.58,19.21,
430,19.58,19.26,
431,19.51,19.15,
432,19.58,19.27,
433,19.64,19.52,
434,19.78,19.74,
435,19.67,19.32,
436,19.56,19.13,
437,19.52,19.11,
438,19.55,19.08,
439,19.54,19.11,
440,19.55,19.04,
441,19.52,19.06,
442,19.58,19.07,
443,19.52,19.10,
444,19.56,19.07,
445,19.53,19.12,
446,19.58,19.04,
447,19.51,19.07,
448,19.54,19.05,
449,19.53,19.21,
450,19.51,19.32,
451,19.59,19.44,
452,19.47,19.14,
453,19.49,18.97,
454,19.56,18.92,
455,19.45,18.89,
456,19.51,18.95,
457,19.47,18.95,
458,19.49,18.87,
459,19.48,18.91,
460,19.42,18.93,
461,19.45,18.88,
462,19.43,18.95,
463,19.43,18.95,
464,19.42,18.89,
465,19.45,19.05,
466,19.45,19.00,
467,19.45,18.92,
468,19.42,18.85,
469,19.43,18.87,
470,19.40,18.91,
471,19.40,18.91,
472,19.45,18.92,
473,19.49,19.02,
474,19.45,19.09,
475,19.56,19.37,
476,19.55,19.15,
477,19.55,19.03,
478,19.51,19.03,
479,19.49,19.05,
480,19.47,19.04,
481,19.48,19.05,
482,19.49,19.00,
483,19.48,19.06,
484,19.48,18.98,
485,19.45,18.97,
486,19.42,18.89,
487,19.43,18.89,
488,19.47,19.17,
489,19.45,19.20,
490,19.45,19.14,
491,19.43,19.10,
492,19.52,19.21,
493,19.51,19.46,
494,19.49,19.35,
495,19.42,19.10,
496,19.43,19.08,
497,19.38,19.00,
498,19.41,19.00,
499,19.42,19.03,
500,19.41,19.02,
501,19.52,19.32,
502,19.60,19.48,
503,19.66,19.55,
504,19.64,19.41,
505,19.56,19.16,
506,19.56,19.18,
507,19.49,19.06,
508,19.43,18.99,
509,19.48,18.95,
510,19.49,18.87,
511,19.41,18.91,
512,19.43,18.86,
513,19.48,18.94,
514,19.49,19.14,
515,19.43,19.01,
516,19.43,18.98,
517,19.42,18.89,
518,19.48,18.95,
519,19.45,18.93,
520,19.48,18.91,
521,19.40,18.93,
522,19.38,18.89,
523,19.43,18.91,
524,19.48,18.87,
525,19.45,18.86,
526,19.41,18.91,
527,19.42,18.84,
528,19.38,18.82,
529,19.37,18.80,
530,19.32,18.73,
531,19.28,18.80,
532,19.36,18.82,
533,19.25,18.77,
534,19.34,18.89,
535,19.32,18.89,
536,19.36,19.04,
537,19.38,19.13,
538,19.51,19.16,
539,19.45,19.17,
540,19.47,19.23,
541,19.51,19.25,
542,19.58,19.25,
543,19.53,19.23,
544,19.54,19.23,
545,19.52,19.15,
546,19.52,19.20,
547,19.51,19.22,
548,19.52,19.10,
549,19.51,19.06,
550,19.59,19.33,
551,19.61,19.37,
552,19.65,19.44,
553,19.70,19.46,
554,19.64,19.45,
555,19.66,19.38,
556,19.69,19.37,
557,19.64,19.25,
558,19.66,19.16,
559,19.64,19.11,
560,19.64,19.17,
561,19.53,19.03,
562,19.54,19.12,
563,19.53,19.00,
564,19.87,19.64,
565,19.82,19.60,
566,19.70,19.12,
567,19.66,19.12,
